Lista 2024 - China Contados,,,,,,,,,,,,Lista 2024 - China y Italia No Contados,,,,,,,Lista 2024 - Otros,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Fecha de Llegada,Fabricas,Codigo,Cantidad Pedidos,Cantidad Recibidos,Cantidad de Sacos,,Ratio R/P,Fabricas,Pedidos por Fabricas,Ratio R/P por Fabricas,,Fecha de Llegada,Fabrica,Codigo,Cantidad Pedidos,Cantidad Llegados,Cantidad de Sacos,,Fecha de Llegada,Fabrica,Codigo,Cantidad Pedidos,Cantidad Llegados,Cantidad de Sacos
2024-06-28,판위왕,24577#,815,815,5,,"0,00%",,,,,2024-10-06,COTTON,2523,,12,,,,,,,,
2024-06-28,판위왕,22129#,415,415,5,,"0,00%",,,,,2024-10-06,COTTON,9889,,47,,,,,,,,
2024-06-28,판위왕,22949#,521,521,6,,"0,00%",,,,,2024-10-05,ELEGANCE,83629,,100,,,,,,,,
2024-06-28,판위왕,22948#,656,600,4,,"8,54%",,,,,2024-10-05,ELEGANCE,83937,,80,,,,,,,,
2024-06-28,판위왕,24602#,200,200,2,,"0,00%",,,,,2024-10-05,ELEGANCE,516006,,60,,,,,,,,
2024-06-28,판위왕,24603#,591,591,5,,"0,00%",,,,,2024-10-05,ELEGANCE,604801,,100,,,,,,,,
2024-06-28,판위왕,24604#,406,400,4,,"1,48%",,,,,2024-10-05,ELEGANCE,803461,,140,,,,,,,,
2024-06-28,판위왕,24579#,334,300,3,,"10,18%",,,,,2024-10-05,FLORA,5536,,100,,,,,,,,
2024-06-28,판위왕,24560#,613,600,4,,"2,12%",,,,,2024-10-05,FLORA,5536,,105,,,,,,,,
2024-06-28,판위왕,24567#,500,492,7,,"1,60%",,,,,2024-10-05,FLORA,5595,,60,,,,,,,,
2024-06-28,판위왕,24568#,300,288,5,,"4,00%",,,,,2024-10-05,FLORA,5536B (BUCLE),,45,,,,,,,,
2024-06-28,판위왕,24578#,500,498,7,,"0,40%",,,,,2024-10-05,HJ FASHION,81311,,60,,,,,,,,
2024-06-28,커춘,24585#,404,400,6,,"0,99%",,,,,2024-10-05,HJ FASHION,81338,,76,,,,,,,,
2024-06-28,커춘,24522#,493,480,17,,"2,64%",,,,,2024-10-05,MICOK,6112,,60,,,,,,,,
2024-06-28,커춘,24593#,212,200,2,,"5,66%",,,,,2024-10-05,MICOK,8549,,8,,,,,,,,
2024-06-28,커춘,24592#,332,300,3,,"9,64%",,,,,2024-10-05,MICOK,8549,,4,,,,,,,,
2024-06-28,커춘,24591#,361,350,5,,"3,05%",,,,,2024-10-05,MICOK,9250,,10,,,,,,,,
2024-06-28,뜨게집A11-3,24502#,300,278,5,,"7,33%",,,,,2024-10-05,MICOK,9269,,6,,,,,,,,
2024-06-28,뜨게집A11-3,24505#,480,445,6,,"7,29%",,,,,2024-10-06,MISS COCCO,7825,,42,,,,,,,,
